Number,Date,Check 1,O/T,Check 2,O/T,Check 3,O/T,Final Age,Initaials,
1,11/10/23,1,O,1,O,,,1O,Jacob,
2,11/10/23,1,O,1,O,,,1O,Jacob,
2,2/20/23,n/a?,n/a?,4,T,,,4T,JN,
3,11/10/23,3,T,3,T,,,3T,Jacob,
3,2/10/23,n/a?,n/a?,2,T,,,,,
4,11/10/23,3,T,3,T,,,3T,Jacob,
4,2/20/23,n/a?,n/a?,2,T,,,,,
5,11/10/23,2,T,2,T,,,2T,Jacob,
6,11/10/23,2,T,2,T,2,T,2T,Jacob,
7,11/10/23,2,T,2,T,,,2T,Jacob,
8,11/10/23,3,O,2,O,2,O,2O,Jacob,
9,11/10/23,2,T,2,T,,,2T,Jacob,
9,2/20/23,,,1,T,,,,,
10,11/10/23,2,T,1,T,1,T,1T,Jacob,
11,11/10/23,1,T,1,T,,,1T,Jacob,
11,2/20/23,n/a?,n/a?,3,T,,,,,
12,11/10/23,1,T,1,T,,,1T,Jacob,
12,12/20/23,3,T,3,T,,,3T,MP,
13,11/10/23,3,O,3,O,,,3O,Jacob,
13,12/20/23,12,T,12,T,,,12T,PP2,
14,11/10/23,2,T,4,T,2,T,2T,Jacob,
14,2/20/24,4,T,,,,,,,
15,11/10/23,1,T,1,T,,,1T,Jacob,
15,7/1/23,3,O,5,O,,,2O,JG + MP,
16,10-Nov,2,T,3,T,1,T,1T,Jacob,
16,7/1/23,3,T,3,T,,,3T,MP,
17,11/10/23,3,T,3,T,,,3T,Jacob,
17,7/1/23,3,O,3,T,,,,,
18,11/10/23,1,O,2,O,1,T,1T,Jacob,
18,7/1/23,12,T,12,T,,,12T,JN,
19,11/10/23,2,T,2,T,,,2T,Jacob,
19,7/1/23,2,O,,,,,,,
20,11/10/23,1,O,1,O,,,1O,Jacob,
20,7/1/23,n/a?,n/a?,1,O,,,1O,JC,
21,3/15/23,5,T,4,T,4,T,4T,Jacob,
21,7/1/23,7,O,,,,,,,
22,3/15/23,3,O,3,O,,,3O,Jacob,
23,3/15/23,3,O,3,O,,,3O,Jacob,
24,3/15/23,8,T,8,T,,,8T,Jacob,
25,3/15/23,11,T,11,T,,,11T,Jacob,
26,3/15/23,3,O,3,O,,,3O,Jacob,
26,3/2/24,1,O,4,T,,,1O,JG,
27,3/15/23,3,T,3,T,,,3T,Jacob,
27,3/2/24,2,O,2,T,,,2T,JC,
28,3/15/23,3,T,3,T,,,3T,Jacob,
28,3/2/24,5,T,,,,,,,"otilith cracked, in round 2 box "
29,3/15/23,8,O,8,O,,,8O,Jacob,
29,3/2/24,5,O,,,,,,,
29,3/2/24,4,T,4,T,,,4T,AM2,
30,3/15/23,3,T,3,T,,,3T,Jacob,
31,3/15/23,2,O,2,O,,,2O,Jacob,
32,3/15/23,2,O,3,O,3,O,3O,Jacob,
32,n/a,2,T,2,T,,,2T,JN,
33,3/15/23,4,O,4,O,,,4O,Jacob,
34,3/15/23,1,T,1,T,,,1T,Jacob,
34,n/a,2,T,4,T,,,,,
35,3/15/23,4,O,4,O,,,4O,Jacob,
35,n/a,3,T,3,T,,,3T,MP,
36,3/15/23,4,T,3,T,3,O,3O,Jacob,
36,n/a,n/a,,,,,,,,
37,12/2/24,2,O,1,O,2,O,2O,MT,
38,n/a,3,T,3,T,,,3T,MP,
39/ inconclusive,12/2/24,4,T,3,O,,,,,
40,12/2/24,5,T,4,T,4,T,4T,AM2,
41,12/2/24,9,T,8,T,,,9T,BD,
42,12/2/24,4,T,3,T,,,3T,MT,
374/ inconclusive,12/2/24,5,T,3,T,,,3T,BD,
44,12/2/24,4,O,4,O,,,4O,AM2,
45,12/2/24,2,T,2,O,,,2O,JG,
46,12/2/24,6,T,6,T,,,6T,JN,
47,12/2/24,3,T,3,T,,,3T,JN,
49,12/2/24,5,O,5,O,,,5O,MP,
50,12/2/24,7,O,4,O,,,7O,JN,
51,12/2/24,6,O,6,O,,,6O,MP,
52,12/2/24,4,O,,,,,,,
53,12/2/24,3,O,3,O,,,3O,MP,
BD,12/2/24,4,O,1,O,,,2T,,
56,12/2/24,1,O,1,O,,,1O,JN,
57,12/2/24,4,T,needs cut again,,,,,,
57,12/2/24,2,O,3,O,4,T,,,
58,12/2/24,4,O,3,O,,,4O,JG,
59,12/2/24,2,O,2,O,,,2O,MP,
60,12/2/24,4,O,4,O,,,4O,AM2,
61,12/2/24,4,T,3,T,4,T,4T,AW,
62,12/2/24,5,O,4,T,5,O,5O,MT,
63,12/2/24,3,O,3,O,,,3O,LS,
64,12/2/24,3,O,3,O,,,3O,LS,
65,12/2/24,6,T,6,T,,,6T,MP,
66,12/2/24,7,O,7,O,,,7O,MP,
68,12/2/24,3,T,,,,,,,
68,12/2/24,2,T,,,,,,,
69,12/2/24,5,O,5,T,5,T,5T,LS,
70,12/2/24,3,O,3,O,,,3O,LS,
71,12/2/24,4,T,4,T,,,4T,PP2,
72,12/2/24,4,O,4,O,,,4O,JN,
73,12/2/24,6,O,6,O,,,6O,MP,
74,12/2/24,2,O,2,O,,,2O,AM2,
75,12/2/24,4,T,2,T,,,4T,MT,
76,12/2/24,6,O,6,O,,,6O,AM2,
79,12/2/24,4,T,4,T,,,4T,MP,
80,12/2/24,3,T,4,T,4,T,4T,AW,
81,12/2/24,7,O,4,T,4,T,4T,JN,
82,12/2/24,6,O,6,O,,,6O,MP,
83,12/2/24,1,O,2,T,2,T,2T,LS,
84,12/2/24,4,T,3,T,3,T,3T,MT,
85,12/2/24,4,T,4,T,,,4T,MP,
86,12/2/24,5,T,5,T,,,5T,MP,
87,12/2/24,6,O,6,O,,,6O,MP,
88,12/2/24,6,O,6,O,,,6O,MP,
89,12/2/24,3,O,4,O,,,4O,JG,
90,12/2/24,4,T,4,T,,,4T,MP,
91,12/2/24,n/a?,n/a?,8,O,8,O,8O,BD,
92,12/2/24,3,T,3,T,,,3T,JN,
93,12/2/24,7,O,4,O,,,7O,MP,
94,12/2/24,6,O,6,O,,,6O,MP,
95,12/2/24,6,O,4,O,,,4T,AW,
96,12/2/24,6,O,6,O,,,6O,MP,
98,12/2/24,1,O,1,O,,,1O,MT,
99,12/2/24,5,T,6,T,,,6T,AW,
100,12/2/24,3,O,3,O,,,3O,MP,
102,12/2/24,3,T,,,,,,,
102,12/2/24,3,T,3,T,,,3T,MP,
103,12/2/24,6,O,5,O,5,O,5O,AW,
105,12/2/24,6,O,5,T,5,T,5T,AW,
106,12/2/24,6,O,,,,,,,
107,12/2/24,4,T,4,O,,,4O,MT,
108,12/2/24,3,T,5,T,,,,,
109,12/2/24,5,T,4,T,4,T,4T,MP,
110,12/2/24,4,T,6,O,6,O,6O,MP,
111,12/2/24,3,T,2,O,3,T,3T,MP,
112,12/2/24,5,T,5,T,,,5T,AM,
113,12/2/24,4,O,2,T,,4O,JG,,
114,12/2/24,4,O,4,T,,,4T,MT,
115,12/2/24,3,O,2,T,3,O,3O,MT,
116,12/2/24,4,O,5,T,,,4O,BD,
117,12/2/24,5,T,3,T,3,T,3T,Mp,
118,12/2/24,2,O,3,O,,,3O,MT,
119,12/2/24,4,T,4,T,,,4T,AM2,
120,12/2/24,3,T,1,T,1,T,1T,MP,
121,12/2/24,1,T,1,T,,,1T,MP,
122,12/2/24,7,T,7,T,,,7T,PP2,
125,12/2/24,7,O,6,O,,,6O,AW,
126,12/2/24,2,O,1,O,2,O,2O,MT,
127,12/2/24,5,O,5,O,,,5O,PP2,
128,12/2/24,8,O,7,O,7,O,7O,MP,
129,12/2/24,4,T,4,T,,,4T,AM,
130,12/2/24,3,T,3,T,,,3T,JN,
132,12/2/24,4,O,4,O,,,4O,MP,
133,12/2/24,2,O,2,O,,,2O,MP,
135,12/2/24,2,T,,,,,,,
136,12/2/24,5,T,3,T,,,,,
137,12/2/24,2,O,2,O,,,2O,MP,
138,12/2/24,6,T,6,T,,,6T,AM,
139,12/2/24,3,T,5,T,,,5T,AW,
141,12/2/24,3,T,3,T,,,3T,,
142,12/2/24,6,O,6,O,,,6O,MP,
145,12/2/24,4,T,4,T,,,4T,AM2,
147,12/2/24,4,T,,,,,,,
148,12/2/24,9,T,5,T,,,,,
149,12/2/24,n/a?,n/a?,5,O,5,O,5O,MP,
150,12/2/24,4,T,4,T,,,4T,MP,
152,12/2/24,2,O,3,O,2,O,2O,JN,
153,12/2/24,5,O,6,O,6,O,6O,AW,
154,12/2/24,6,O,6,O,,,,,
156,12/2/24,6,T,6,T,,,6T,MP,
157,12/2/24,4,T,4,T,,,4T,,
159,12/2/24,3,O,,,,,3T,JN,
160,2/23/25,5,O,5,O,,,5O,PP2,
161,2/23/25,3,O,,,,,,,
162,2/23/25,3,O,3,O,,,3O,PP2,
164,2/23/25,4,T,4,T,,,4T,PP2,
166,2/23/25,3,T,3,T,,,3T,MP,
